"title","published_at","polarity","url","vector"
"Paris Hilton protest calls for closure of Utah school","2020-10-10 00:25:49+00",0.1,"https://abcnews.go.com/Entertainment/wireStory/paris-hilton-protest-calls-closure-utah-school-73531096","(16.66712734692829, -5.5570922763707635, 1.373680486247212, -3.0313207138823843, -2.1981979248164656, 0.8318723338949493, -0.13608042835805534, 2.282365511430791, -0.8070140742173662, -0.17455443394435935, -3.5231272137489045, 3.7082559259911023, -2.9705082646879095, 1.5129353516500963, 1.2160446852458202, 1.7822525016810515, -0.5039062697987218, 0.47050534752639406, -0.4011291241267263, 0.1717070390317934, 1.644638569417996, 0.14978562447209282, -0.7155024342982278, -0.26597874167513524, 1.1810563140004304, 0.9693217519831049, 0.02148031698258812, -0.28173989490405266, -0.1377982369103089, 0.19810398984678262, -1.3452225130368023, -1.1079651300928866, -0.6150198336080256, 0.21987975786361055, 0.6469025055878488, 0.5177826319356126, -0.6603267093198759, -2.1264307385063823, 0.3442906640986015, -1.7235126620656434, -0.11231932337594208, 0.1784449287046413, 0.041638498726492945, 0.22408448209662096, 1.1109918411062985, -0.009643701356069706, 1.0457140445816107, -0.5040119425592289, -1.2193981846553248, 1.2364117408608373, -0.3184820099258203, -0.7358487235684785, 2.0706627045977677, -0.8354031719940451, -0.5947798723512004, 0.35122736354855144, 0.3685811093303429, -0.4991395953520063, 0.26148477818817023, 0.2883013251509535, 1.0849367995933947, 0.17418695730852535, 0.11564013149229262, -0.2289409425445158, -0.08182997801637387, -0.48150973632649724, -0.34754926714219136, -0.3321113379293247, 0.6709085253141104, -0.11178573972621475, 1.0547952707956108, 0.13775716689397088, -0.26749248597329467, 0.3836842118422524, -0.11982133932345376, -0.021909106297764824, -0.2696679816927259, -0.09636162098270876, 1.2428187227677432, -0.8719895795560452, -0.3438756495391281, 0.7848173832244199, -0.41252049766812515, 0.12196886781803984, 0.2859730527737667, 0.8987130225039505, -0.5556445391145497, -0.052805496952627415, -0.45696777543521416, 0.4281787385841498, 0.8384197548927828, -0.5083462244775554, 0.18466499603189024, 0.26678449142712274, -0.15260668059694188, 0.10562205652122988, 0.09119551073253851, 0.7966491160522688, -0.23214298686596768, 0.12790034355529362)"
"US agency mourns murdered Mexico plant safety inspector","2020-10-10 00:18:02+00",0,"https://abcnews.go.com/International/wireStory/us-agency-mourns-murdered-mexico-plant-safety-inspector-73531037","(15.657709860724514, -6.7922723757706045, 1.635339603658684, -0.9009106338662348, -0.26686868273738146, -2.3079532118932136, -0.11016037644269128, 1.7554479769785798, 2.1969187517438096, 0.34727677613020563, -1.8737740868047537, 0.2364327902023991, 1.6672969939456193, -1.9692052698130607, -2.9237044256869087, 0.8590530533721241, 1.4805910921422063, 2.324439187333038, 0.5539098051262346, -1.9118523452050766, -0.6059642476446389, 0.2241626448252243, -2.0254045285078877, 0.07013565481785994, -1.756229040337125, 1.432591197084029, 0.18202439419545272, 1.6052451339376796, 1.1162359180240873, 0.7674698556912201, -1.1604180283385732, -0.44189204438164875, -1.8732057869925565, -0.734921031885081, -2.245611619363604, -2.5249954511060992, -2.3896601655951413, 0.6135059080034326, 0.11945157731529457, -0.7231937325426527, 0.7062240379799725, 2.21880509401373, 0.1676870388002119, 0.5998447828867907, -0.637263301093375, -0.9004072612221363, 0.3244109047088303, -0.8469419278475651, -1.0365258683818963, -0.5663286348717381, -1.0619823460389928, -0.16077445418221054, 0.40422164980200526, -1.5162834450930749, -1.2340572217648418, 0.08172279242384728, -0.43557304854797135, 0.9533062607874313, 1.0149747845869146, -1.1746360807802059, 0.11244493469939904, 0.16150464996139757, 0.14033562352036316, -1.0326410033287916, -0.22820996115151124, -0.17788493409737435, -0.9152162374865649, -0.7807619504682886, 0.9057395614148331, 0.5407131170626225, -0.05556921224849591, -1.9922294729755385, 0.16565238296674945, -1.0047580099142974, -0.8798809412198516, 0.5866940930342306, -0.27008315475477485, 0.32350691304421586, -0.08926810750837622, -0.5634182524440271, -0.12608347317990531, 0.8155507427253949, -0.22192322317673638, -0.12362461495367882, 0.8145633168879558, 0.39296208392413945, 0.4796810763932048, -0.06999840926185469, 0.8542573686874619, -0.049576706050615704, -1.1687316367050373, 0.5328423333076353, 0.5555909418815507, -0.145162742518765, 0.66025808373708, -0.4589265811336305, -0.4259342308704194, 0.12455686511510372, -0.5187394794430548, 0.7044330402245543)"
"North Korea celebrates party anniversary amid economic woes","2020-10-10 01:51:04+00",-0.041666666666666664,"https://abcnews.go.com/International/wireStory/north-korea-celebrates-party-anniversary-amid-economic-woes-73532282","(15.854278714744417, -0.46218513457776367, 2.7796397014207628, -1.2522447307471278, -1.9412131362285705, 0.3942383308325643, 2.46700604827518, -1.7387329148060848, -1.07957194868201, -0.9485899727409169, -2.8672405806985473, -3.909813940755445, -1.3960316717615142, -0.2752780767729661, -1.6256779296440738, 2.837710664451569, -0.5160288002068922, -0.18189886120829568, 1.3707598674962553, 0.770869400666446, 2.6031543609082304, 1.1144940126611975, 2.254179454212856, -0.5495184911618471, -1.7439341007278213, 1.4015836241299713, 1.6403279524121679, -1.2743417387734428, 0.2709261165825686, -3.136669316524531, -0.7762100955006711, -1.2544887406022132, 0.1351981505779989, 0.244144116774417, -0.1068155123961223, 0.10012995871140361, 0.23591789682663217, -0.36175963343063394, -1.0693824542676895, 0.8740737141560743, 1.3784846983675125, 0.4338479485293098, 0.09638452665974012, -1.493064091270298, 0.05895064268275746, 0.24190396839407305, 0.337045170067566, 3.4739966328138494, 0.5122189407454826, -0.059795639898893305, -0.6607636008031181, -0.8000580462767857, 0.8352204726239507, -1.1663537158794501, -0.6542838905821322, 0.6096332423913934, 0.04861883053626831, 0.24601780680991026, 1.5203274081390785, -0.4588132003099076, 1.3106754092512847, 1.2568681875696233, -0.6732990815284059, 0.4427004130020162, 0.6259719639225074, -1.1028171262420294, -1.068920050377581, -0.2067934405288477, -1.0455775105503873, -0.6202357347495433, 0.7585234865284742, -0.3957923123078919, 1.5569805534175372, 0.13931392896221395, 0.1591571119876818, 1.0363354350295397, -0.561975382314363, -0.16859798677128918, 0.2563616056444463, 0.7135893415090857, -0.061015393743685364, -0.06691447536840217, -0.14439555610240667, -0.5767074755299013, 0.37019731741139855, -0.30040608212642367, 0.3723422718454989, 0.3574399475100595, -0.663130395217929, 0.019822204028975055, -0.710946244208453, 0.08664225620487931, -1.0545257084205053, -0.5097709814560772, 0.6557709725135612, 0.32504708610143174, -0.6741334674221239, 0.7947240920939814, 0.8151030619644327, -0.3277306821227729)"
"Tropical storm unleashes rain, strong winds in south Japan","2020-10-10 00:57:28+00",0.30833333333333335,"https://abcnews.go.com/International/wireStory/tropical-storm-unleashes-rain-strong-winds-south-japan-73531660","(13.885991601848191, -2.110157851784935, 4.437427684317532, -2.9611585029407435, -3.9649205117868394, 4.115489541015371, 4.255206909065613, -1.192203709118271, 0.6194245970209373, 3.0028643134354898, -1.58573866551323, 2.5767531727315722, -2.209670395123103, -2.6932487858369836, -1.1564785696139235, -3.0623919391738528, 4.625186589689596, 1.9514317567506436, -1.936525977229244, 0.975433519172519, -2.3260653590014737, -1.3324883730365789, 1.4775142511426422, 0.48568813683157464, -1.8519871195487523, -2.068239779391254, 1.4966454477980085, -1.2399249681017834, -0.5926335431467173, -1.2214786878625508, 0.574374117472741, -0.8428311315542585, 0.06587496150788574, 1.723389279585221, 0.015298276655290599, 1.7808432092349502, -0.7350393897478856, -0.4571922077969046, -0.22074550140764682, 2.5583486025222397, 0.5867298877041209, 0.5674587977029788, -0.7793987757095084, -1.1858501329408246, -0.08770892401627756, -0.45962335474774924, 0.9715777794151703, -1.356128796479112, 1.3840623957676264, 0.7966117753385615, -0.288603494969476, -0.08754308266200167, -1.859309031424718, 1.082837512682338, 1.147182602950597, -0.2994422080000817, 1.1052633696196943, -1.614922703788194, 0.009564570652075222, 0.3540298960812691, -0.010043215831603822, 2.191612894322553, 1.050972296029857, -0.6882166713312498, 1.4853528997364038, -1.5156604117619719, -0.20509027760591772, 0.8774071484097693, 0.5032184082102553, 0.18735113584602953, -0.9106073540477724, -0.23937603341496563, -0.3195226498392495, 0.2365809168987955, 0.052720053358791374, 0.14361652033561484, -1.141687991037709, -0.318268231909966, 0.8536174600078508, -0.07316930921365092, -0.783690240291633, -0.6482576545169407, -0.6718274668803086, -0.12025558348503512, 0.16896261313572275, 0.868871411696541, -0.6454956950160088, 0.8921610139042297, -0.6368807426501971, 0.4290654134742836, -0.14348465327966026, 0.1644496451956337, -0.1519869382937905, -0.6794102162770337, 1.262578626247596, -0.582620593533413, -0.00164184026510944, 0.3967759195202818, 0.0906714601623243, -0.6445398775388058)"
"China protests latest US Navy mission in South China Sea","2020-10-10 02:48:00+00",0.5,"https://abcnews.go.com/International/wireStory/china-protests-latest-us-navy-mission-south-china-73532555","(14.631076297271633, -4.422144559928949, -2.5277357110966236, 0.6339066369853665, -0.44402614080226244, -0.5569907716782158, -0.21936049321376336, -0.9779319613780588, -0.44567709795497495, 0.6050590519293999, 1.2724138940921865, 3.5202809888994695, -2.0895284377654457, -2.7109556904025434, -2.3927920333256125, 1.6095604476227603, -0.46684990115712843, -1.4189821450489997, -1.0969718180913275, 1.908825079858758, -1.103026977277763, -1.3301791174115256, -0.24489429301039212, 1.3195279741157309, -1.5160944282953837, -0.4435733368731746, 1.1832744062050116, -0.5605219238397953, -1.194870370899995, -2.2545415559833666, -0.4821375360281109, 1.9552496222523776, -1.0270853796296497, 1.7751241903422499, -1.5544692188414153, 1.452138395831274, 0.15095435334752583, -0.8104875749106972, -0.19416260299334345, 1.5110205281856879, -0.6917346408070313, 1.1092178765169851, 1.0871122044940307, 0.6924460083890842, -0.6934596116545566, 1.5446544507616318, -1.27711525412343, 0.3195369824102534, 0.8829151692330135, -0.17480209397723034, 1.228460076164294, -1.2975009468004535, 0.6731012090941041, 1.3254431359314331, -0.14758259360767845, 0.03586757343381581, 1.4883157813564079, -0.01800071832826214, -1.815914838031789, -0.5858219486252922, 0.5445615144103325, 2.5886934568487665, 0.20233033040435727, -0.6863611352876782, -0.8717501231353693, 0.8206622204730996, 0.39361961381910904, -1.0659957710026506, 0.2826325115252333, 0.10666079694782687, -0.5055123422653734, 0.45171091574281536, -0.10983639453955368, 0.2917094384830665, 0.8086255775088806, -1.24318342517885, 0.5055121815446039, 0.46818754308590615, -0.5483307136832776, -0.9521898439823349, 0.2983429346566935, -0.05500359187347223, -0.6889661266980014, -0.6855568486161057, -0.3607402546347754, -0.8901597408049293, -0.27025199392448185, -0.7746276325627073, -0.352250112050559, -0.20930992447819374, -1.091982624608973, 0.332110034695999, 0.5553811178589093, 0.8953938154376014, 0.3317668753912815, 0.28901456183383545, -0.024777096668314347, -0.4926903336166936, -0.1696617975140461, 0.08190548455847953)"
"Armenia, Azerbaijan agree on cease-fire in Nagorno-Karabakh","2020-10-10 00:19:31+00",0,"https://abcnews.go.com/International/wireStory/armenia-azerbaijan-agree-cease-fire-nagorno-karabakh-73531038","(12.927607489606661, 0.15820606050378092, 1.2091920144756099, 3.8361660832126607, -3.378173514899977, -5.2352557905064065, 1.7794225506356711, -1.0514106347736047, 0.5142294846761872, 1.6838581546306979, 3.1843498096388467, -0.7739031393124065, 2.1667458528328387, 0.47488634160928317, 0.7553999036382544, 3.730762210021454, -0.45579428743876427, -1.2003166122413251, -2.132912120017096, -0.8829757704353347, 1.0598019243680774, -0.012360561351261845, 0.37426796023559705, 2.8106606325601997, -1.5024454459742929, -1.7401996656370946, 0.14231527082080647, 2.716299781883568, 0.3616083074415915, 2.577745451366371, -1.0577931255140434, 1.4372645408109275, -2.1121956135635394, 0.7980556303316353, 2.337318897225027, -1.6649342009307975, -1.1906370604425816, -0.6765870595639552, 1.061886230791425, -0.2758783546029233, 2.57364868511561, -1.1213479968389815, 0.11397300118323375, -1.2839509529297737, 0.7826791831635975, 0.8693911950243183, 2.719009054309903, 0.5963606822689121, 0.9053550646026955, -0.13278038637272926, -1.371884958765487, -0.6594886637905096, 0.9666961318651109, -0.24206085446436928, 0.33556039241272495, 1.2268355774513409, -0.04481262341822145, 2.218787705719255, 0.3948955651518221, -0.9250250294310833, 1.0400230992350599, -0.15865785454820336, -0.7802400893361254, -0.6059929657013694, -0.1249347194531561, -0.49930070236860224, 0.3570150387897958, -0.10937861083501932, 0.12668851616905558, 1.685838041978665, -0.18353296882200276, 0.8068221982790814, 0.3468632751730737, -0.07627458430234474, -1.1528222792191354, -0.7388651487880751, -0.1341574800914245, 0.28240747287088086, 0.34882160882910873, 0.24808493775202461, 0.14467803465984858, 0.7098936454585665, -0.8002159729021159, -0.5387322346499044, -0.7891949827781299, -0.9292375504641217, -0.5627221666525967, 0.18163833221228987, 0.0823662122167429, 0.17110770398972863, 1.439811656561087, 0.8361625281003274, -0.4546969785962211, 0.9689888140969953, 0.7006932122634909, 0.021222473241842565, -0.42039521680592107, 0.03210150075593335, -1.3548692741919734, 0.48900674174604347)"
"Hurricane Delta has weakened to a Category 1 storm as it moves inland along the southwestern Louisiana coast","2020-10-10 00:12:30+00",0,"https://abcnews.go.com/US/wireStory/hurricane-delta-weakened-category-storm-moves-inland-southwestern-73530969","(11.27240752840668, -0.6288936018610377, 3.8590103664153204, 1.8375354873262855, 0.12460261365994765, -2.108231133263269, 3.347291849234117, 1.9487667384280372, -0.21390279703982662, 1.0872228591099555, -1.6936896886558963, 2.1462204814156136, 1.2885770502316545, -2.299667984206458, -2.0800090020133153, -3.855180106359962, 4.9860867018388255, 3.9366884423657242, -1.7510766432761637, -2.0296174320096894, -1.5659223128672948, -1.7544834733980523, -0.5615128964624823, 0.21066960649370006, -0.049253120582978885, -0.5120963604069484, 1.4202043177280226, 1.2267057128343608, -2.003683464732698, 0.9720732292505971, -1.416756366164433, -0.45378332087778106, -1.4104555256619977, -0.4641961966941873, 1.2232543510955725, -0.6064113031705124, -0.7141814219239251, -2.4288429026413794, 2.327307948803061, -0.9305727599877153, 1.5879373765955715, 0.8981850216551472, -0.07655983341048456, 0.47889632514991626, -1.793582916394487, 0.4989938406729103, 1.4466827865637792, -2.529736093493212, -0.6824932233665082, 0.5271527266046703, 1.766757908137633, 0.3074866843960594, -1.1447145399330423, 0.9400076236662969, 0.8761878238012897, -0.04552885306811541, 0.8825592548211034, -0.6441379726454863, -0.7225805868266619, 1.840132858302992, 0.882328304442141, 1.8341234828368966, 1.2121850996317258, 0.6378420155185847, 0.19824753119894778, -0.8474150667024136, -0.5049857039511881, -0.7602030718321938, -0.14192875407604535, -1.4265775358037316, 0.1397416125554208, -0.6764664738438553, -0.003665673281928128, 0.6467011846209231, -0.42760328415920495, 0.9111915575933257, 0.17010688782582462, 0.8813766767643914, 1.5238069940928094, -1.2145637002921033, -1.0946282374875596, -0.1105983933197805, 0.208302448816534, 0.1337357158719802, -0.2583414601890722, 0.2015403663637626, -1.0303772124061699, 0.9042830507389085, -0.13967586816969607, -0.7714536865364237, 0.19974841989142614, -0.8452238753025609, 0.6043375102179123, -0.03938357331414452, 0.9654486514597618, -0.6946279862303687, -0.6946378308342536, 0.6559251151379761, 1.0195736562093394, -0.31537524700456243)"
"Armenia and Azerbaijan say they have agreed on a cease-fire in Nagorno-Karabakh starting Saturday","2020-10-10 00:09:45+00",0,"https://abcnews.go.com/International/wireStory/armenia-azerbaijan-agreed-cease-fire-nagorno-karabakh-starting-73530935","(12.768589804541179, -0.6106422421595111, 0.21391142358128779, 3.5280700061143135, -2.88195109694596, -4.823903802400582, 2.3053175194981472, -0.7911718306293082, -0.13281980977565855, 2.5970253190046297, 3.196218304983822, -1.1439964650257077, 2.830941209029467, -1.2143945676568428, 0.3454573481896832, 4.920197998522106, -0.8670266225574599, -0.5736863131618045, -0.9869215153590725, -1.713962703903493, 2.816655044145539, 0.5713382560182443, 1.4339148737836482, 1.7962922955008995, -2.003360930702794, -2.2850483209977046, -1.7628543398123826, 1.8170805347615138, -0.23869695145959036, 0.3273947963096465, -1.3821613296660509, 1.3219073547435902, -1.920452019398936, 0.6276183377466666, 3.1323259060489947, -0.7977124915913049, 0.03787414110915993, -0.20920357711956689, 1.5074050415966234, 0.5544898605904243, 2.123374322162487, 0.16149043905805743, 0.17824498345624262, -1.232929317353655, 0.3108699013326952, 0.3740237626123458, 3.5435912393932214, -0.7193151958525367, 1.6585471644096876, -0.12088794190710878, -0.9463636979658157, -0.3861930931284312, 0.6521046412060152, -0.9316501749091982, 0.2973463621485962, 1.0599685141432178, -0.14158289092812282, 1.828115099138092, 0.8147605479377826, -1.1095452027269277, 0.83951734981775, 0.11267516660837383, -0.687229618771972, -0.49601434426130586, -0.10094196137559214, -0.024108598829611222, 0.07087599706623708, -0.5339787950124952, 0.2182865740755866, 2.0722922809818747, -0.17423363213504345, 0.9235778888099497, 0.14770522594840615, 0.26464679755442344, -0.6042200239577237, -1.2510808562409346, -0.9807481221562067, 0.5757549289641636, -0.18787922720616612, 0.5617223555486712, 0.4206469016562037, 0.2847288809892653, -0.2982546163226733, -0.4624719454544258, -1.0597585777416851, -0.1251721191951836, -0.570244419577683, 0.10925914982230667, 0.5469968774021101, 0.18213339521005306, 1.461914746370531, 0.4658799488549047, 0.03163131338917627, 1.0046027134294138, 0.5217853537849071, -0.05573790156291586, 0.02981712079442389, 0.7287292075167333, -1.6208997856247302, 0.4999737643914955)"
"North Korea state media quiet ahead of expected military parade","2020-10-10 01:55:53+00",-0.052272727272727276,"https://www.aljazeera.com/news/2020/10/10/north-korea-state-media-quiet-ahead-of-expected-military-parade","(13.959419298894531, -1.4927124511478862, -2.8725409443907317, 2.4929420885849565, -2.5708617549635955, -1.6297509955724025, 1.3643351884410806, 0.31838250958404535, -2.274286970383315, 0.03328257310864549, 4.692017891694029, -3.211287329300147, -0.9771291231964281, -1.7596844979662398, -1.0835903229168864, 0.8345803006809265, -0.44651166811211346, -0.5007555974328117, -2.060978388943692, 1.099413279643543, 2.38884890090953, 1.277463446501176, 2.6206535380567173, -1.3851497410061515, -1.2431622432863998, -0.4244110208099938, -0.1455885736908118, 1.3010189206466625, -0.4608959030621733, 0.9366051424355113, -0.414411281652427, -0.09081238681466533, 0.14300914534173848, -0.9364535553967889, -0.19884111885105638, 0.7587297901491575, -0.6189714013731071, -1.0641000220419798, -2.0680465737583416, -0.7432959942400907, 2.4685002228465778, 0.4935398668654005, 2.1273845190746377, -1.274405746609518, 0.19824380798223978, 1.1653753310328483, 0.38871744737048197, 1.8916955141061773, -1.17489292096667, -1.701310106969609, 0.6399460232081904, 1.0339901996700087, 1.5356188476949924, -1.3800821446036533, -0.09571268789494464, -0.6518403223565356, 1.5097043429540211, 0.896234325725917, 0.3389389747577949, -0.6047832896878944, 1.7909029593042747, 2.0215197758074543, -0.22999510328014322, -0.7148525036710045, -0.6826906033357005, -0.24199534255474425, -0.660913223037044, -0.41788948381894675, -0.7989736948468672, -0.5472789359396915, 1.152761916438003, -0.5072347424179567, -0.6647193874533857, -0.29194141045895894, -0.02193943202560948, -0.6192591323003592, -0.1603074042854444, -0.20054981395187046, 0.6294860915576058, 1.4567204737372068, 0.4047236046858834, -0.3782862067114334, -0.4832989804606842, -1.664872638700904, 0.18555639135992502, -0.24256992086432594, 0.3533322609754167, 0.22190730980946424, -0.15349332218770506, -0.12012457647734578, -0.8633770115575597, 0.5075525359061283, -0.19809939864637255, 0.3469458931346166, 0.5233902384662593, 0.48334809405099316, -0.2279433433625253, 0.29092168875335345, 0.2972956551541407, -0.006461062556789188)"
"Detained Australian writer to face spy trial in China","2020-10-10 03:29:53+00",0,"https://www.aljazeera.com/news/2020/10/10/detained-australian-writer-to-face-spy-trial-in-china","(15.06204208622352, -5.170722442193005, 0.220903632290248, -0.5560952797120237, -1.4760749860103415, -2.1883329195156347, 0.7008821449543803, 0.5180878330317801, -4.025186354162857, 1.6625250391332074, 3.2158910517578487, 0.41306629957824836, -0.6752130449001505, 1.282634302478745, -1.7627043762454926, 1.6409979520051827, -2.78414530251165, 0.5704984149390457, -0.8459331426869448, 1.4894707845263957, 1.0096574071918556, -3.742475308450608, 2.1105033611740533, -0.7159689356050043, 1.4413542390910627, 0.6642245059364766, 0.3813646870264725, -0.7476430683227248, 0.971790163508184, -0.753951188618219, -2.108142553977797, 2.12397935241074, -1.5801445917780326, 2.226426454529218, -0.33008262450892023, 0.03299694214722779, -1.3651592609782381, 0.6052671919124871, -0.4754713360631588, -0.2783133929842293, -0.06413344095785338, 0.5040050401645196, 0.3094603077525027, 1.807093826610164, -1.0516987020143298, -0.4386875856349732, -1.2739199427180508, -0.6725673606079117, 0.4749443882015818, -0.9905576144359025, 0.2688912957388544, -1.649918780247236, -0.7265397428566264, 1.3141043610222705, -0.3234843547222591, 0.5005443112973244, -0.9630685777673132, 1.0853378487176204, 0.5105454414938033, -0.6251462269043268, 0.7637019020991931, 0.42546026391448766, -0.05218131540725102, 0.23529742757774386, 1.7256228129905873, 0.8942017354825275, 0.5552229691222017, 1.0575746401498503, 0.6440278968040654, -1.5060829489111471, 0.9649197875246185, 0.8248814878946638, -0.36761406640061794, -0.1541729536076668, 1.2022391567065316, 0.8594297459023227, -0.07735528144893544, -0.5549211605804905, -0.5305768590095283, 0.30543476492111354, -0.6920699637871572, 0.2329925487084927, -0.25867733564945716, -0.8198050069568052, 0.8163221820226827, 0.08512132920163429, 0.5262334407643123, 0.07978921236069336, 1.0865474093978666, -0.6154124753273561, -0.3014257870870257, -0.4949776746172624, 0.6840752711876997, 0.28590100546879926, -0.8707781208838777, -0.07379136987443592, 0.31068607032113427, -0.23456225347175685, 0.3584343725245851, -0.7940811045645029)"
